Joy,Surprise,Anger,Sadness,Fear,Disgust,Love,Trust,Anticipation
,,গেলমান,স্বল্পতা,শাটডাউন,,,,স্থানীয়করণ
,,চতুরচোর,উদাসীনতা,আহ,,,,প্যারাগন
,,মহাবুবস্,নিগ্রো,ওহ,,,,দোকান
,,বাপের,কুরুচিপূর্ণ,পুলিশ,,,,খামার
,,ফালায়,শিথিল,ভুলভাবে,,,,দৈনিক
,,ভোদাই,গালি,দুর্ভাগ্য,,,,ক্র্যাম্প
,,ভোদার,অবাস্তব,অসামাজিক,,,,আভিজাত্য
,,ছাল,খুপরি,পথভ্রষ্ট,,,,বন্ধ
,,ধোনের,অনন্তকাল,স্থগিত,,,,সংস্করণ
,,ধোন,অসুবিধাজনক,ক্লিনিক্যাল,,,,আত্মীয়
,,হোল,সীমাবদ্ধ,মুখবন্ধ,,,,ছিনতাই
,,টেংরি,অচল,অবসেসিং,,,,কাজ
,,ভাইংগা,ঝড়,নির্জনতা,,,,প্রত্নতত্ত্ব
,,ধরায়া,জল্পনা,চার্জযোগ্য,,,,বেতার
,,নটি,অসম্পূর্ণ,অস্বস্তিকর,,,,ধ্যান
,,নটিমাগি,লঙ্গরখানা,ক্ষমতাশালী,,,,মুঠোফোন
,,ঝি,অপচয়কারী,প্রতিপক্ষ,,,,জীবাণু
,,গুদের,অশিক্ষিত,যোগসাজশ,,,,ভাই
,,গুদ,মেলোড্রামা,না,,,,হ্রাস করা
,,মাগিবাজ,একঘেয়েমি,চালাকি,,,,অপরাজিত
,,মাইগ্যা,কুয়াশাচ্ছন্ন,বিভ্রান্তি,,,,বন্ধু
,,বেশ্যা,অকার্যকর,অযৌক্তিক,,,,হিসাবহীন
,,বাল,অবরোধ,মুছে,,,,ঘুঘু
,,ফালাইয়া,ফ্যাকাশে,টিজিং,,,,রোগী
,,আটি,আবর্জনা,রেজার,,,,ধর্মনিরপেক্ষ
,,বান,অরুচিকর,দৈত্য,,,,ডিগ্রেস
,,পুকটি,ফাঁপা,সতর্কতা,,,,সতীত্ব
,,মারা,নিরাময়,এড়াতে,,,,পরিষদ
,,খা,আগ্রহহীন,মুদ্রাস্ফীতি,,,,ঘ্রাণজ
,,গাড়,নীচে,অন্তহীন,,,,ফিতা
,,ভইরা,উপবাস,প্রলয়,,,,অধিকারী
,,দিমু,মোকাবিলা,আদালত,,,,নিষ্পত্তি
,,মাঙ্গের,বিবর্ণ,কার্তুজ,,,,যাচাই করা
,,উপ্তা,তৃষ্ণা,বন্ধুত্বহীন,,,,অপরিপক্ক
,,কইরা,কঠিন,নজরদারি,,,,মধ্যস্থতাকারী
,,চুদমু,অলস,দুর্গ,,,,নিয়মিততা
,,মাঙ্গের,নিম্ন,চ্যালেঞ্জ,,,,খাঁটি
,,নাতি,শুষ্ক,ফোলা,,,,শিশুহত্যা
,,চুদনা,বন্ধ,তীব্র,,,,বাহা
,,ভাতার,অপরাজিত,অসম্মতি,,,,অভিনব
,,মীরজাফর,স্থগিত করা,অসন্তুষ্ট,,,,সংরক্ষণকারী
,,উপ্তা,গুজব,লাগামহীন,,,,গির্জা
,,লাঠি,ছানি,সমস্যা,,,,বিউগল
,,সাটামু,অবসর,ক্রুচ,,,,গম্ভীর
,,ধোন,বিভাজন,ছিঁচকে,,,,অস্বীকার
,,কাইট্টা,বাধাপ্রাপ্ত,ব্যাঙ্গার,,,,বিশ্লেষক
,,কুত্তা,অদ্ভুত,বেল্ট,,,,বিচারিক
,,খাওয়ামু,কটাক্ষ,উচ্চতা,,,,যাজকত্ব
,,লেওরা,বিভক্ত,অনিদ্রা,,,,ব্রডসাইড
,,নিবীর্জ,স্মৃতি,অডিশন,,,,হতাশা
,,চুতমারানীর,তুষার,অপমান,,,,টুপি
,,পোলা,সীমিত,অপারেশন,,,,থার্মোকল
,,তর,ইচ্ছাকৃত,মগ্ন,,,,উপনদী
,,মায়েরে,শিরোনামহীন,ঝাপসা,,,,প্রশিক্ষক
,,চিচিং,সময়কাল,ছানি,,,,ক্লান্তি
,,ফাক,আগাছা,ডুবে,,,,মুখের লালা
,,কান্দে,মিছিল,সদ্যপ্রাপ্ত,,,,ছানি
,,ফালাইয়া,স্পর্শকাতরতা,বদমাশ,,,,অন্তর্জাল
,,পুটকিতে,সমাজতান্ত্রিক,অধৈর্যভাবে,,,,ভিসার
,,বাশ,নিস্তব্ধতা,প্রতিক্রিয়া,,,,শিকল
,,চামড়া,দেরী,ফাউল,,,,অভ্যস্ত
,,ছুইল্লা,অপ্রকাশিত,স্থবির,,,,ঠিকানা
,,লাথ্থি,বৃথা,মৌমাছি,,,,বিচক্ষণ
,,উষ্টা,চিকিত্সা,ওভারড্রাইভ,,,,অসম্মতি
,,খা,শোচনীয়,নিদ্রাহীন,,,,ক্ষত
,,সুদখোর,মন্থর,মনোরোগ,,,,গৃহহীন
,,গুদির,অনিশ্চয়,অতিরিক্ত,,,,জ্যোতির্বিজ্ঞানী
,,ব্যাটা,অনিশ্চয়তা,বেত,,,,তির্যক
,,কাঠ্ঠির,নীরব,জঙ্গল,,,,প্রতিবেশী
,,বেট্যা,বিমূঢ়,টোপ,,,,শয়তান
,,ল্যাদানী,মনমরা,অসম,,,,পিকেট
,,হোলচাটা,বিকট,শেষ,,,,বাক্য
,,বাইনচোদ,ক্ষীণ,পূর্বাভাস,,,,সুপ্ত
,,মাদার,নিখোঁজ,বিদূষক,,,,ক্রিম
,,চোদ,আক্রান্ত,ওঠানামা,,,,অপরিপক্কতা
,,হোগা,নিঃশ্বাস,চড়াই,,,,অভ্যাসগত
,,চাটা,হৃদয়হানি,ওফ,,,,নৈতিকতা
,,গো,বিছিন্নতা,পরাস্ত,,,,পাড়া
,,কুত্তার,নির্দয়তা,পরিবর্তন,,,,শান্ত
,,হোল,হৃদয়ঘাত,সহ্য,,,,বিদায়
,,মাসিকের,বিক্ষিপ্ত,কাবু,,,,অঙ্গ
,,হোল,বিচারহীন,অ্যাটর্নি,,,,ক্লাউন
,,টাইনা,বিঘ্ন,বাগ,,,,হস্ত
,,পুকটিতে,নিরুদ্দেশ্য,গিঁট,,,,সাধারণ
,,হোলের,দুর্বিচার,বকেয়া,,,,উদ্ধৃতি
,,চুলকানী,অচেতন,জিনোম,,,,রেল
,,আবাল,হতাশিত,ভঙ্গুর,,,,একনায়কত্ব
,,চোদা,নির্জনতা,সাবধানে,,,,ট্রেডমিল
,,বোকা,হয়রানি,নিস্তব্ধতা,,,,বোর্ড
,,আচোদা,হয়রান,চক্রান্ত,,,,গাছ
,,খবিশ,পাষান,পিচ্ছিল,,,,সূর্যালোক
,,ভুস্কি,অকারণে,অনিশ্চিত,,,,পক্ষাঘাত
,,বিলাই,কর্মহীন,চেকপয়েন্ট,,,,সিমেন্ট
,,হ্যাচড়া,নৈরাজ্য,ইন্টারভিউয়ার,,,,কৃমি
,,বাপপের,নৈরাজ্যভরা,নিয়ন্ত্রক,,,,সংগঠন
,,বিছাতু,নিষ্প্রয়োজন,রড,,,,নিরপেক্ষ
,,হিটলার,দুস্বপ্ন,শুনানি,,,,অগ্রজ্ঞা
,,তোগোরে,অনিষ্ট,ধূর্ত,,,,
,,ফাসিতে,বিধ্বংস,ঘাঁটি,,,,
,,লটকাইয়া,দুঃস্বপ্ন,ঔষধ,,,,
,,চুদমু,দুর্নীতি,ব্যাকট্র্যাক,,,,
,,টাইনা,মানসিকভাবে,সেন্সর,,,,
,,তোগোর,পীড়াদায়ক,নবাগত,,,,
,,পিছন,পরামর্শহীনতা,কল্পনা,,,,
,,ঢুকামু,সিদ্ধান্তহীনতা,অপেক্ষা,,,,
,,তোদের,নৈতিকহীন,ব্যঙ্গচিত্র,,,,
,,পিছ,বিপথগামী,ঘটনা,,,,
,,ঘইষা,হয়রানিতে,ইতিমধ্যেই,,,,
,,বোম্বাই,অস্বাভাবিকভাবে,রাকুন,,,,
,,চুদামু,ব্যথাজনক,ক্লাউন,,,,
,,হোগায়,নিষ্ক্রিয়তা,প্রচারণা,,,,
,,গোয়ার,অনিশ্চয়ভাবে,বাজপাখি,,,,
,,কৃমি,বিধ্বংসকারী,ফার্মেসি,,,,
,,লাত্থায়,নিঃশ্বাসহীন,স্বপ্ন,,,,
,,ল্যাওড়া,দুস্বপ্নপ্রবণ,গন্তব্য,,,,
,,ছিল্লা,আশংকাজনক,কুখ্যাতি,,,,
,,গোআ,দুর্বলহীন,সরু,,,,
,,তোরেই,নিকৃষ্টতা,সিদ্ধান্তহীন,,,,
,,খাওয়ামু,দুঃখভরা,মামলা,,,,
,,কুত্তার,দুঃখভারাক্রান্ত,চিকিত্সা,,,,
,,পুকটি,দুঃখের,সনাক্ত,,,,
,,চাটামু,বিধ্বংসপ্রবণ,শিরস্ত্রাণ,,,,
,,মাসিকের,অশান্ত,যাত্রা,,,,
,,ত্যানা,প্রতারণামূলক,বেসামরিক,,,,
,,হাইগ্যা,দুঃখিতভাবে,মেঘলা,,,,
,,গাইড়্যা,নিষ্ঠুরভাবে,,,,,
,,তুর,অসুখে,,,,,
,,ভরবো,অসুখ,,,,,
,,সুদানির,নিঃশ্বাসহীনতা,,,,,
,,,মন্দবুদ্ধিতে,,,,,
,,,দুঃস্বপ্নপ্রবণ,,,,,
,,,আত্মহত্যাপ্রবণতা,,,,,
,,,আত্মহত্যাপ্রবণ,,,,,
,,,নিষ্ক্রিয়তায়,,,,,
,,,দুঃখপূর্ণ,,,,,
,,,বিষাদময়,,,,,
,,,আপত্তিজনক,,,,,
,,,দুর্দিন,,,,,
,,,বিশ্বাসহীনতা,,,,,
,,,বিশ্বাসহীনতায়,,,,,
,,,কষ্টদায়ক,,,,,
,,,অর্থসংকট,,,,,
,,,ভয়,,,,,
,,,নিরাপদ,,,,,
,,,সাবধানে,,,,,
,,,রক্ষা,,,,,
,,,হাসপাতালে,,,,,
,,,আল্লাহই,,,,,
,,,ফাঁদে,,,,,
,,,আল্লাহ,,,,,
,,,হেফাজত,,,,,
,,,ঝুঁকি,,,,,
,,,কাঁপা,,,,,
,,,পুলিশ,,,,,
,,,মৃত্যুর,,,,,
,,,রাতে,,,,,
,,,আল্লাহর,,,,,
,,,ভয়ে,,,,,
,,,আললাহ,,,,,
,,,সাবধান,,,,,
,,,গরিলা,,,,,
